star, RAhr, RAmin, Decdeg, Decmin,Magnitude,Radius
EtaPiscium,1,31,15,21,3.62,7.76
oPiscium,1,45,9,9,4.26,6.48
alfaPiscium,2,2,2,46,3.82,7.36
nuPiscium,1,41,5,29,4.45,6.1
epsilonPiscium,1,3,7,53,4.27,6.46
DeltaPiscium,0,49,7,35,4.44,6.12
OmegaPiscium,23,59,6,52,4.03,6.94
IotaPiscium,23,40,5,38,4.13,6.74
TetaPiscium,23,28,6,23,4.27,6.46
GamaPiscium,23,17,3,13,3.7,7.6
KapaPiscium,23,27,1,15,4.95,5.1
LambdaPiscium,23,42,1,47,4.49,6.02
EpsilonAquarii,20,48,-9,-30,3,9
BetaAquarii,21,32,-5,-34,2.9,9.2
AlfaAquarii,22,6,0,-19,2.95,9.1
GamaAquarii,22,22,-1,-23,3.86,7.28
LambdaAquarii,22,53,-7,-35,3.73,7.54
DeltaAquarii,22,55,-15,-49,3.27,8.46
Psi3Aquarii,23,19,-9,-37,4.99,5.02
PhiAquarii,23,14,-6,-3,4.22,6.56
EtaAquarii,22,35,0,-7,4.04,6.92
Zeta1Aquarii,22,29,0,-1,3.65,7.7
iotaCeti,0,19,-8,-49,3,9
betaCeti,0,44,-17,-59,3,9
tauCeti,1,44,-15,-56,3,9
zetaCeti,1,51,-10,-20,3,9
tetaCeti,1,24,-8,-11,3,9
etaCeti,1,9,-10,-11,3,9
deltaCeti,2,39,0,20,3,9
gamaCeti,2,43,3,14,3,9
alfaCeti,3,2,4,5,3,9
lambdaCeti,3,0,8,54,3,9
muCeti,2,45,10,7,3,9
epsilonPegasi,21,44,9,53,3,9
tetaPegasi,22,10,6,12,3,9
zetaPegasi,22,41,10,50,3,9
alfaPegasi,23,5,15,12,3,9
gamaPegasi,0,13,15,11,3,9
betaPegasi,23,4,28,5,3,9
etaPegasi,22,43,30,13,3,9
alfaAndromedae,0,8,29,5,3,9
deltaAndromedae,0,39,30,52,3,9
betaAndromedae,1,10,35,37,3,9
muAndromedae,0,57,38,30,3,9
gama1Andromedade,2,4,42,20,3,9
omicronTauri,3,25,9,2,3,9
csiTauri,3,27,9,44,3,9
lambdaTauri,4,1,12,29,3,9
gamaTauri,4,20,15,38,3,9
teta1Tauri,4,29,15,58,3,9
alfaTauri,4,36,16,31,0.87,13.26
zetaTauri,5,38,21,9,3,9
epsilonTauri,4,29,19,11,3,9
betaTauri,5,26,28,36,1.65,11.7
27Tauri,3,49,24,3,3,9
20Tauri,3,46,24,22,3,9
19Tauri,3,45,24,28,3,9
tetaAurigae,6,0,37,13,3,9
betaAurigae,6,0,44,57,1.9,11.2
alfaAurigae,5,17,46,0,0.08,14.84
epsilonAurigae,5,2,43,49,3,9
iotaAurigae,4,57,33,10,3,9
etaGeminorum,6,15,22,30,3.31,8.38
muGeminorum,6,23,22,31,2.87,9.26
epsilonGeminorum,6,44,25,8,3.06,8.88
nuGeminorum,6,29,20,13,4.13,6.74
tetaGeminorum,6,53,33,58,3.6,7.8
tauGeminorum,7,11,30,15,4.41,6.18
alfaGeminorum,7,35,31,53,1.58,11.84
iotaGeminorum,7,26,27,48,3.78,7.44
nuGeminorum,7,36,26,54,4.06,6.88
betaGeminorum,7,45,28,2,1.16,12.68
kapaGeminorum,7,44,24,24,3.57,7.86
deltaGeminorum,7,20,21,59,3.5,8
zetaGeminorum,7,4,20,34,4.01,6.98
csiGeminorum,6,45,12,54,3.35,8.3
gamaGeminorum,6,38,16,24,1.93,11.14
betaOrionis,5,15,-8,-12,0.18,14.64
kapaOrionis,5,48,-9,-40,3,9
zetaOrionis,5,41,-1,-57,3,9
epsilonOrionis,5,36,-1,-12,3,9
deltaOrionis,5,32,0,-18,3,9
gamaOrionis,5,25,6,21,1.64,11.72
phi1Orionis,5,35,9,29,3,9
alfaOrionis,5,55,7,24,0.45,14.1
epsilonLeonis,9,46,23,46,2.97,9.06
muLeonis,9,53,26,0,3.88,7.24
zetaLeonis,10,17,23,25,3.43,8.14
gama1Leonis,10,20,19,51,2.01,10.98
etaLeonis,10,7,16,46,3.48,8.04
alfaLeonis,10,8,11,58,1.36,12.28
tetaLeonis,11,14,15,26,3.33,8.34
betaLeonis,11,49,14,34,2.14,10.72
deltaLeonis,11,44,20,31,2.56,9.88
alfaVirginis,13,25,-11,-10,0.98,13.04
zetaVirginis,13,35,0,-36,3.38,8.24
deltaVirginis,12,56,3,24,3.39,8.22
gamaVirginis,12,42,-1,-27,2.74,9.52
alfa2Librae,14,51,-16,-2,2.75,9.5
